,movieId,title,genres,rating_size,rating_mean
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,49695.0,3.921239561324080
1,2,Jumanji (1995),Adventure|Children|Fantasy,22243.0,3.2119768016904200
2,3,Grumpier Old Men (1995),Comedy|Romance,12735.0,3.1510404397330200
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,2756.0,2.8613933236574700
4,5,Father of the Bride Part II (1995),Comedy,12161.0,3.064591727653980
5,6,Heat (1995),Action|Crime|Thriller,23899.0,3.8349303318130500
6,7,Sabrina (1995),Comedy|Romance,12961.0,3.3664840675873800
7,8,Tom and Huck (1995),Adventure|Children,1415.0,3.142049469964660
8,9,Sudden Death (1995),Action,3960.0,3.0049242424242400
9,10,GoldenEye (1995),Action|Adventure|Thriller,29005.0,3.430029305292190
10,11,"American President, The (1995)",Comedy|Drama|Romance,18162.0,3.667712806959590
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,3845.0,2.6197659297789300
12,13,Balto (1995),Adventure|Animation|Children,1461.0,3.272416153319640
13,14,Nixon (1995),Drama,6022.0,3.432082364662900
14,15,Cutthroat Island (1995),Action|Adventure|Romance,2910.0,2.7219931271477700
15,16,Casino (1995),Crime|Drama,17394.0,3.7874554444061200
16,17,Sense and Sensibility (1995),Drama|Romance,20667.0,3.9685730875308500
17,18,Four Rooms (1995),Comedy,5203.0,3.3736305977320800
18,19,Ace Ventura: When Nature Calls (1995),Comedy,20938.0,2.6074123603018400
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,4084.0,2.8807541625857000
20,21,Get Shorty (1995),Comedy|Crime|Thriller,24116.0,3.581688505556480
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,9928.0,3.319399677679290
22,23,Assassins (1995),Action|Crime|Thriller,4250.0,3.1482352941176500
23,24,Powder (1995),Drama|Sci-Fi,7971.0,3.199849454271740
24,25,Leaving Las Vegas (1995),Drama|Romance,21553.0,3.689509581032800
25,26,Othello (1995),Drama,2755.0,3.628856624319420
26,27,Now and Then (1995),Children|Drama,1642.0,3.413520097442140
27,28,Persuasion (1995),Drama|Romance,3154.0,4.057545973367150
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,8520.0,3.952230046948360
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1281.0,3.633879781420770
30,31,Dangerous Minds (1995),Drama,9435.0,3.250344462109170
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,44980.0,3.8980546909737700
32,33,Wings of Courage (1995),Adventure|Romance|IMAX,65.0,3.0076923076923100
33,34,Babe (1995),Children|Drama,32255.0,3.6430940939389200
34,35,Carrington (1995),Drama|Romance,1493.0,3.5016744809109200
35,36,Dead Man Walking (1995),Crime|Drama,20809.0,3.9427170935652800
36,37,Across the Sea of Time (1995),Documentary|IMAX,85.0,3.0176470588235300
37,38,It Takes Two (1995),Children|Comedy,552.0,2.857789855072460
38,39,Clueless (1995),Comedy|Romance,26254.0,3.413632208425380
39,40,"Cry, the Beloved Country (1995)",Drama,886.0,3.646726862302480
40,41,Richard III (1995),Drama|War,4689.0,3.8521006611217700
41,42,Dead Presidents (1995),Action|Crime|Drama,2467.0,3.0551276854479100
42,43,Restoration (1995),Drama,2552.0,3.4684561128526600
43,44,Mortal Kombat (1995),Action|Adventure|Fantasy,10697.0,2.653874918201370
44,45,To Die For (1995),Comedy|Drama|Thriller,8933.0,3.3843613567670400
45,46,How to Make an American Quilt (1995),Drama|Romance,3205.0,3.2748829953198100
